iter	Passed	Remaining
0	8	8340
1	18	9300
2	28	9351
3	39	9724
4	48	9675
5	74	12266
6	86	12297
7	97	12149
8	114	12662
9	125	12378
10	137	12320
11	148	12185
12	157	11965
13	166	11698
14	176	11603
15	189	11684
16	200	11603
17	209	11428
18	219	11312
19	233	11442
20	237	11067
21	242	10795
22	247	10503
23	254	10349
24	263	10288
25	275	10314
26	285	10295
27	296	10286
28	307	10286
29	319	10328
30	330	10334
31	340	10301
32	349	10243
33	363	10316
34	374	10323
35	388	10404
36	399	10402
37	413	10471
38	422	10419
39	432	10370
40	440	10294
41	449	10242
42	459	10237
43	468	10187
44	477	10136
45	483	10024
46	493	10006
47	503	9989
48	515	9998
49	520	9898
50	535	9963
51	544	9934
52	554	9913
53	565	9913
54	576	9902
55	589	9934
56	597	9892
57	608	9890
58	616	9838
59	627	9832
60	639	9843
61	653	9888
62	661	9844
63	674	9857
64	686	9874
65	689	9759
66	702	9785
67	714	9786
68	724	9778
69	734	9756
70	744	9745
71	752	9698
72	762	9684
73	772	9662
74	781	9633
75	789	9597
76	800	9597
77	808	9561
78	817	9533
79	826	9508
80	836	9487
81	846	9474
82	856	9464
83	867	9456
84	876	9437
85	887	9430
86	897	9416
87	907	9404
88	916	9379
89	927	9381
90	937	9362
91	948	9357
92	959	9354
93	969	9339
94	978	9323
95	987	9296
96	997	9285
97	1007	9273
98	1017	9256
99	1028	9254
100	1036	9228
101	1046	9215
102	1057	9210
103	1068	9205
104	1079	9197
105	1085	9157
106	1098	9165
107	1108	9156
108	1117	9135
109	1124	9096
110	1135	9091
111	1145	9082
112	1155	9071
113	1165	9054
114	1175	9047
115	1184	9027
116	1193	9005
117	1204	9006
118	1214	8990
119	1224	8982
120	1233	8963
121	1243	8950
122	1253	8938
123	1263	8926
124	1274	8921
125	1284	8907
126	1292	8883
127	1303	8882
128	1318	8904
129	1335	8938
130	1347	8937
131	1357	8923
132	1365	8899
133	1375	8888
134	1388	8898
135	1399	8890
136	1410	8882
137	1422	8884
138	1432	8874
139	1441	8856
140	1451	8840
141	1459	8819
142	1469	8805
143	1478	8791
144	1487	8772
145	1497	8758
146	1506	8738
147	1515	8724
148	1525	8712
149	1534	8696
150	1544	8681
151	1554	8671
152	1561	8644
153	1573	8642
154	1582	8625
155	1590	8605
156	1601	8599
157	1611	8585
158	1618	8561
159	1629	8557
160	1634	8519
161	1640	8487
162	1647	8458
163	1653	8426
164	1656	8383
165	1661	8345
166	1665	8308
167	1674	8293
168	1683	8276
169	1695	8276
170	1702	8253
171	1711	8238
172	1721	8229
173	1731	8221
174	1741	8209
175	1751	8202
176	1760	8187
177	1771	8180
178	1783	8180
179	1793	8169
180	1803	8158
181	1813	8150
182	1825	8150
183	1834	8137
184	1845	8128
185	1854	8115
186	1862	8097
187	1872	8089
188	1881	8075
189	1891	8062
190	1901	8055
191	1909	8035
192	1918	8019
193	1927	8009
194	1940	8009
195	1950	8001
196	1960	7989
197	1967	7971
198	1975	7952
199	1982	7928
200	1994	7927
201	2008	7932
202	2016	7917
203	2026	7905
204	2037	7899
205	2045	7885
206	2057	7880
207	2063	7857
208	2073	7848
209	2083	7839
210	2093	7827
211	2101	7812
212	2110	7798
213	2120	7787
214	2132	7785
215	2141	7773
216	2150	7758
217	2162	7756
218	2172	7746
219	2181	7732
220	2190	7719
221	2199	7708
222	2209	7698
223	2219	7687
224	2227	7673
225	2247	7698
226	2256	7684
227	2262	7661
228	2266	7631
229	2271	7604
230	2276	7578
231	2280	7548
232	2285	7524
233	2294	7512
234	2303	7497
235	2311	7484
236	2320	7469
237	2332	7467
238	2341	7456
239	2351	7446
240	2360	7435
241	2369	7422
242	2380	7417
243	2390	7406
244	2400	7398
245	2410	7387
246	2421	7383
247	2431	7373
248	2443	7368
249	2457	7372
250	2465	7356
251	2475	7348
252	2483	7333
253	2492	7320
254	2501	7308
255	2508	7289
256	2520	7287
257	2529	7275
258	2539	7265
259	2548	7254
260	2559	7246
261	2568	7235
262	2578	7225
263	2589	7218
264	2599	7208
265	2603	7185
266	2607	7158
267	2610	7130
268	2614	7103
269	2617	7076
270	2620	7049
271	2624	7023
272	2627	6996
273	2630	6969
274	2633	6942
275	2636	6916
276	2640	6891
277	2643	6865
278	2646	6839
279	2649	6813
280	2652	6787
281	2656	6763
282	2661	6743
283	2666	6721
284	2670	6699
285	2674	6676
286	2678	6653
287	2681	6628
288	2685	6607
289	2689	6585
290	2692	6561
291	2696	6537
292	2699	6513
293	2702	6489
294	2705	6466
295	2709	6443
296	2713	6422
297	2716	6399
298	2720	6377
299	2724	6356
300	2727	6334
301	2730	6311
302	2734	6289
303	2737	6266
304	2740	6245
305	2743	6222
306	2747	6201
307	2750	6179
308	2753	6158
309	2756	6135
310	2760	6115
311	2763	6093
312	2766	6071
313	2769	6050
314	2773	6030
315	2775	6008
316	2779	5987
317	2782	5967
318	2785	5946
319	2788	5926
320	2792	5907
321	2795	5886
322	2799	5866
323	2802	5846
324	2805	5826
325	2808	5806
326	2811	5786
327	2815	5767
328	2818	5748
329	2821	5729
330	2825	5711
331	2829	5692
332	2833	5674
333	2836	5655
334	2839	5637
335	2842	5618
336	2845	5599
337	2849	5580
338	2852	5561
339	2855	5543
340	2859	5526
341	2862	5508
342	2865	5489
343	2869	5471
344	2872	5452
345	2875	5434
346	2878	5417
347	2881	5399
348	2885	5382
349	2888	5364
350	2892	5349
351	2896	5331
352	2899	5314
353	2902	5296
354	2905	5279
355	2908	5262
356	2912	5245
357	2915	5228
358	2919	5212
359	2923	5196
360	2926	5180
361	2930	5164
362	2934	5148
363	2937	5132
364	2940	5115
365	2943	5099
366	2946	5082
367	2949	5065
368	2952	5049
369	2956	5033
370	2959	5017
371	2962	5001
372	2965	4985
373	2968	4969
374	2971	4953
375	2975	4937
376	2978	4921
377	2981	4905
378	2984	4890
379	2987	4874
380	2990	4859
381	2994	4844
382	2998	4829
383	3001	4814
384	3004	4799
385	3007	4783
386	3010	4768
387	3013	4753
388	3016	4738
389	3021	4725
390	3024	4710
391	3027	4696
392	3030	4680
393	3033	4666
394	3037	4651
395	3040	4637
396	3043	4622
397	3047	4609
398	3050	4594
399	3054	4581
400	3057	4566
401	3060	4552
402	3064	4540
403	3067	4526
404	3071	4511
405	3075	4499
406	3078	4484
407	3082	4473
408	3087	4461
