id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
1117,2014-09-01,,Two year,No,Mailed check,25.75,1654.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
1,2018-06-01,2019-11-01,Month-to-month,Yes,Electronic check,104.2,1743.5,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,1
2,2017-08-01,,One year,Yes,Bank transfer (automatic),94.4,2638.1,Fiber optic,No,No,No,Yes,Yes,Yes,Female,0,No,No,No,0
3,2018-09-01,,One year,No,Mailed check,56.1,946.95,DSL,Yes,Yes,No,No,No,No,Male,0,No,No,No,0
4,2018-10-01,,Two year,No,Bank transfer (automatic),68.25,1114.85,DSL,Yes,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,No,0
5,2014-02-01,,Two year,No,Bank transfer (automatic),24.75,1777.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
6,2019-05-01,,Month-to-month,Yes,Electronic check,76.25,684.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
7,2020-01-01,,Month-to-month,No,Electronic check,74.35,74.35,Fiber optic,No,Yes,No,No,No,No,Female,0,No,No,No,0
8,2018-03-01,,Month-to-month,No,Electronic check,54.15,1312.45,DSL,No,Yes,No,Yes,No,No,Male,0,No,Yes,No,0
9,2019-06-01,,Month-to-month,No,Bank transfer (automatic),19.45,159.2,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
10,2018-07-01,,Month-to-month,Yes,Mailed check,34.95,610.2,DSL,Yes,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
11,2019-07-01,,Month-to-month,Yes,Electronic check,53.65,404.35,DSL,Yes,No,No,No,No,No,Female,0,No,No,Yes,0
12,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,69.65,69.65,Fiber optic,No,No,No,No,No,No,Male,1,No,No,No,1
1003,2019-12-01,2020-01-01,Month-to-month,Yes,Bank transfer (automatic),44.9,44.9,DSL,No,No,No,No,No,No,Female,0,No,No,No,1
1005,2020-01-01,,Month-to-month,No,Credit card (automatic),19.4,19.4,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1006,2015-03-01,,Month-to-month,Yes,Credit card (automatic),88.75,5348.65,Fiber optic,No,No,Yes,No,No,Yes,Female,1,Yes,Yes,Yes,0
1009,2019-01-01,2019-11-01,Month-to-month,Yes,Electronic check,70.1,659.65,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,1
1010,2017-03-01,,Month-to-month,No,Credit card (automatic),91.0,3180.5,Fiber optic,Yes,No,No,No,No,Yes,Male,1,No,No,Yes,0
1012,2019-07-01,2019-11-01,Month-to-month,Yes,Electronic check,29.65,118.5,DSL,No,No,Yes,No,No,No,Male,0,No,No,No,1
1014,2017-06-01,,One year,Yes,Electronic check,90.8,3023.85,Fiber optic,Yes,Yes,No,No,No,Yes,Male,0,Yes,Yes,No,0
1016,2016-06-01,2020-01-01,Month-to-month,Yes,Electronic check,77.85,3365.85,Fiber optic,No,Yes,No,No,No,No,Male,0,No,No,Yes,1
1018,2019-08-01,2019-12-01,Month-to-month,No,Electronic check,54.3,195.3,DSL,No,No,No,No,No,Yes,Male,0,No,No,No,1
1020,2015-08-01,,Two year,Yes,Mailed check,18.95,1031.1,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,0
1022,2018-11-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,1
1058,2018-08-01,2020-01-01,Month-to-month,No,Mailed check,51.5,900.5,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,1
13,2015-01-01,,One year,No,Electronic check,104.0,6363.45,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
14,2015-05-01,,Two year,Yes,Credit card (automatic),70.35,4124.65,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,No,0
15,2019-01-01,2019-10-01,Month-to-month,Yes,Electronic check,80.8,713.1,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,No,1
16,2018-11-01,,One year,No,Mailed check,64.85,950.75,DSL,Yes,No,Yes,No,No,Yes,Male,0,No,Yes,No,0
17,2019-02-01,,Month-to-month,No,Bank transfer (automatic),45.9,505.95,DSL,No,No,No,No,No,No,Female,0,Yes,No,No,0
18,2015-08-01,,Two year,No,Mailed check,20.0,1149.65,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
19,2019-10-01,,Month-to-month,No,Electronic check,44.8,169.65,DSL,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
20,2019-04-01,2019-11-01,Month-to-month,Yes,Mailed check,80.3,526.7,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
21,2018-06-01,,One year,No,Mailed check,20.35,393.15,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
22,2017-12-01,,Month-to-month,No,Mailed check,45.8,1147.0,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,0
23,2016-10-01,2019-10-01,Month-to-month,Yes,Electronic check,84.1,3021.6,Fiber optic,No,No,No,No,No,Yes,Male,1,Yes,No,Yes,1
24,2015-09-01,,One year,Yes,Bank transfer (automatic),108.95,5718.2,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
25,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,69.35,191.35,DSL,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,1
26,2014-06-01,,Two year,No,Credit card (automatic),64.35,4539.6,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
27,2014-02-01,,Two year,Yes,Credit card (automatic),90.8,6397.6,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
28,2019-02-01,,One year,No,Credit card (automatic),24.95,280.4,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
29,2017-02-01,2019-12-01,Month-to-month,Yes,Mailed check,79.6,2718.3,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,Yes,Yes,1
30,2014-06-01,,Two year,Yes,Bank transfer (automatic),84.7,5711.05,Fiber optic,Yes,Yes,No,No,No,No,Female,0,Yes,No,Yes,0
31,2015-12-01,,One year,Yes,Credit card (automatic),70.8,3478.15,DSL,Yes,No,Yes,Yes,Yes,No,Female,0,No,Yes,No,0
32,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,36.45,36.45,DSL,No,No,No,No,Yes,No,Female,1,No,No,No,1
33,2016-09-01,,Month-to-month,Yes,Electronic check,104.4,4133.95,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
34,2017-08-01,,Month-to-month,Yes,Electronic check,101.5,2917.65,Fiber optic,No,No,No,Yes,Yes,Yes,Male,1,Yes,No,Yes,0
35,2020-01-01,,Month-to-month,No,Electronic check,54.3,54.3,DSL,No,Yes,No,No,No,No,Male,0,No,No,Yes,0
36,2017-09-01,,Month-to-month,Yes,Electronic check,103.95,2964.8,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,Yes,Yes,0
37,2018-03-01,,Two year,Yes,Credit card (automatic),91.1,2198.3,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
38,2015-02-01,,Two year,No,Mailed check,19.95,1189.9,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
39,2014-02-01,,Two year,No,Credit card (automatic),26.45,1914.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
40,2017-12-01,2019-10-01,Month-to-month,Yes,Electronic check,89.4,2001.5,Fiber optic,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,1
41,2014-02-01,,Two year,Yes,Bank transfer (automatic),75.1,5336.35,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,No,No,No,0
42,2014-08-01,,One year,No,Bank transfer (automatic),108.1,7238.6,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
43,2014-02-01,,Two year,Yes,Electronic check,110.15,7998.8,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
44,2015-12-01,2019-11-01,Month-to-month,No,Electronic check,80.35,3825.85,Fiber optic,Yes,No,No,No,No,No,Female,1,Yes,No,Yes,1
45,2015-11-01,,One year,Yes,Electronic check,111.5,5703.25,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
46,2015-10-01,,One year,No,Mailed check,20.65,1022.95,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
47,2014-04-01,,One year,Yes,Electronic check,106.5,7397.0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
48,2019-05-01,,One year,Yes,Electronic check,19.9,164.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
49,2015-03-01,,Two year,Yes,Mailed check,111.1,6555.2,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
50,2019-11-01,,Month-to-month,No,Mailed check,70.7,225.65,DSL,No,No,No,Yes,Yes,Yes,Male,0,No,Yes,No,0
51,2016-12-01,,Month-to-month,Yes,Electronic check,24.85,955.75,DSL,No,No,No,No,No,No,Male,1,Yes,No,No,0
52,2017-01-01,,Month-to-month,No,Bank transfer (automatic),91.2,3382.3,Fiber optic,Yes,Yes,Yes,No,No,No,Female,0,No,No,Yes,0
53,2017-01-01,,Two year,No,Bank transfer (automatic),65.6,2313.8,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,No,No,No,0
54,2017-12-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),40.65,933.3,DSL,No,No,Yes,No,No,Yes,Female,1,Yes,No,No,1
55,2018-12-01,,Month-to-month,No,Bank transfer (automatic),59.45,780.85,DSL,Yes,Yes,No,Yes,No,No,Female,0,Yes,Yes,No,0
56,2014-02-01,,Two year,Yes,Credit card (automatic),109.95,7852.4,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
57,2015-06-01,2019-11-01,One year,Yes,Electronic check,60.45,3184.25,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,1
58,2019-02-01,2019-10-01,Month-to-month,Yes,Electronic check,84.9,764.95,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,No,Yes,1
59,2014-02-01,,Two year,No,Credit card (automatic),38.5,2763.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
60,2018-09-01,,Month-to-month,Yes,Electronic check,92.55,1614.7,Fiber optic,No,No,No,No,Yes,Yes,Female,1,Yes,No,Yes,0
61,2019-09-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),73.55,145.4,Fiber optic,No,Yes,No,No,No,No,Female,0,Yes,Yes,No,1
62,2019-02-01,2019-10-01,Month-to-month,No,Bank transfer (automatic),20.15,156.25,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,1
63,2016-01-01,2020-01-01,One year,No,Mailed check,34.7,1604.5,DSL,No,Yes,Yes,No,No,No,Female,0,Yes,No,No,1
64,2019-04-01,,Month-to-month,Yes,Mailed check,24.5,270.15,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
65,2020-02-01,,One year,Yes,Mailed check,19.7,2291.023009417808,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
66,2020-01-01,,Month-to-month,No,Mailed check,20.6,20.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
67,2017-09-01,,One year,No,Credit card (automatic),58.0,1734.5,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
68,2014-09-01,,One year,Yes,Electronic check,107.45,7047.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,Yes,Yes,0
69,2019-06-01,,Month-to-month,Yes,Bank transfer (automatic),65.5,573.15,DSL,Yes,Yes,Yes,No,No,No,Female,0,No,No,Yes,0
70,2015-01-01,,Two year,No,Bank transfer (automatic),25.45,1538.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,0
71,2016-05-01,,One year,Yes,Bank transfer (automatic),100.15,4459.8,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
72,2014-02-01,,One year,Yes,Credit card (automatic),104.45,7459.0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
73,2019-02-01,,Month-to-month,Yes,Electronic check,21.15,306.05,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
74,2019-07-01,,Month-to-month,No,Electronic check,96.2,639.7,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
75,2019-05-01,,Month-to-month,Yes,Mailed check,44.4,348.15,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
76,2016-03-01,2019-10-01,One year,Yes,Electronic check,107.55,4533.9,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,1,Yes,No,Yes,1
77,2015-04-01,,Two year,No,Bank transfer (automatic),94.35,5563.65,Fiber optic,No,No,Yes,Yes,No,Yes,Male,0,Yes,Yes,Yes,0
78,2018-08-01,2019-12-01,Month-to-month,Yes,Electronic check,98.75,1587.55,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1
79,2019-12-01,,Month-to-month,No,Mailed check,20.3,40.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
80,2019-05-01,2020-01-01,Month-to-month,No,Electronic check,101.15,842.9,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,No,1
81,2016-10-01,,One year,No,Bank transfer (automatic),105.75,4228.55,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
82,2019-05-01,,Month-to-month,Yes,Electronic check,81.15,784.45,Fiber optic,Yes,No,No,No,No,No,Male,0,No,No,Yes,0
83,2016-09-01,,One year,Yes,Electronic check,89.55,3729.75,Fiber optic,No,Yes,No,Yes,Yes,No,Male,0,No,No,No,0
84,2017-12-01,,Month-to-month,Yes,Credit card (automatic),54.75,1406.9,DSL,No,Yes,Yes,No,No,No,Female,0,No,No,No,0
85,2017-05-01,,One year,Yes,Credit card (automatic),53.75,1857.3,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,No,0
86,2014-06-01,,One year,No,Credit card (automatic),105.75,7322.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
87,2014-09-01,,Two year,Yes,Credit card (automatic),105.85,6725.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,No,0
88,2015-07-01,,One year,Yes,Electronic check,64.2,3627.3,DSL,No,Yes,No,Yes,No,Yes,Male,0,No,No,No,0
89,2018-02-01,2019-10-01,Month-to-month,Yes,Electronic check,88.7,1761.45,Fiber optic,No,No,Yes,No,Yes,No,Male,0,No,No,Yes,1
90,2018-07-01,,One year,Yes,Credit card (automatic),87.7,1725.95,Fiber optic,No,No,No,Yes,No,Yes,Male,0,No,No,No,0
91,2016-05-01,,Month-to-month,Yes,Credit card (automatic),89.3,4192.15,Fiber optic,No,No,Yes,No,No,Yes,Female,0,No,No,Yes,0
92,2014-04-01,,Two year,Yes,Credit card (automatic),20.15,1411.2,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
93,2019-10-01,2019-12-01,Month-to-month,Yes,Electronic check,79.75,164.5,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
94,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
95,2017-07-01,2019-10-01,Month-to-month,Yes,Mailed check,94.55,2724.6,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
96,2019-02-01,,Two year,Yes,Electronic check,20.05,264.55,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
97,2014-02-01,,Two year,No,Credit card (automatic),67.2,4671.7,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,Yes,No,0
98,2019-02-01,,Month-to-month,No,Electronic check,94.55,1173.55,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
99,2019-07-01,2019-12-01,Month-to-month,Yes,Mailed check,69.05,318.5,Fiber optic,No,No,No,No,No,No,Female,1,No,No,No,1
100,2014-03-01,,Month-to-month,Yes,Electronic check,107.5,7713.55,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
101,2017-03-01,,One year,Yes,Electronic check,73.0,2471.25,DSL,No,No,Yes,Yes,Yes,Yes,Male,1,No,No,No,0
